"init";"K";"P";"u";"SE_u";"v";"SE_v";"w"
"Gauss";3;1;-0,329086848368331;0,0043715192098567;-2,57507052635647;1,25876743575801;0,231261166982365
"Gauss";3;2;-0,202165561221491;0,00269516793856199;-0,685013962531782;0,136753141008227;0,322879228868214
"Gauss";3;3;0,31709548877573;0,00120306225520355;1,83172143735994;0,012675375581306;0,44585960414942
"Gauss";2;1;-0,310321384150257;0,00214153558792211;-2,11516706372424;0,489219191167343;0,458141551867728
"Gauss";2;2;0,262376864294335;0,00103729559979106;1,78837466569789;0,011770809189826;0,541858448132272
"Unif";3;1;-0,214067369289733;0,00143007463429496;-0,977275356303732;0,0675640307469154;0,626492581802765
"Unif";3;2;0,345663264190871;0,00139637475931737;1,61482727998789;0,0141656647285516;0,368140382533222
"Unif";3;3;1,2779890033396;0,0641203708216132;3,31144222541462;0,622666072041329;0,00536703566401362
"Unif";2;1;-0,0771933905104842;0,000877451464135697;-0,281416457841208;0,0183754907364423;0,877982062646166
"Unif";2;2;0,555446303165329;0,0034324649363078;2,0249367222256;0,0306939741670425;0,122017937353834
