"scenario";"replication";"coef.results";"K";"K_difference";"frail.results"
1;1;TRUE;TRUE;0;"TRUE"
1;2;TRUE;TRUE;0;"TRUE"
1;3;TRUE;TRUE;0;"TRUE"
1;4;FALSE;FALSE;-1;"Not comparable"
1;5;FALSE;FALSE;-1;"Not comparable"
2;1;TRUE;TRUE;0;"FALSE"
2;2;TRUE;TRUE;0;"TRUE"
2;3;TRUE;TRUE;0;"TRUE"
2;4;TRUE;TRUE;0;"TRUE"
2;5;FALSE;FALSE;-2;"Not comparable"
3;1;FALSE;FALSE;-1;"Not comparable"
3;2;FALSE;TRUE;0;"FALSE"
3;3;FALSE;TRUE;0;"FALSE"
3;4;FALSE;TRUE;0;"FALSE"
3;5;TRUE;TRUE;0;"TRUE"
4;1;FALSE;FALSE;-1;"Not comparable"
4;2;TRUE;TRUE;0;"TRUE"
4;3;FALSE;FALSE;-1;"Not comparable"
4;4;FALSE;FALSE;1;"Not comparable"
4;5;TRUE;TRUE;0;"TRUE"
5;1;FALSE;FALSE;1;"Not comparable"
5;2;FALSE;FALSE;-1;"Not comparable"
5;3;TRUE;TRUE;0;"FALSE"
5;4;FALSE;TRUE;0;"FALSE"
5;5;TRUE;TRUE;0;"FALSE"
6;1;TRUE;TRUE;0;"TRUE"
6;2;TRUE;TRUE;0;"TRUE"
6;3;TRUE;TRUE;0;"FALSE"
6;4;TRUE;TRUE;0;"TRUE"
6;5;TRUE;TRUE;0;"TRUE"
7;1;TRUE;TRUE;0;"TRUE"
7;2;TRUE;TRUE;0;"TRUE"
7;3;TRUE;TRUE;0;"TRUE"
7;4;FALSE;TRUE;0;"FALSE"
7;5;TRUE;TRUE;0;"TRUE"
8;1;TRUE;TRUE;0;"TRUE"
8;2;FALSE;FALSE;1;"Not comparable"
8;3;TRUE;TRUE;0;"TRUE"
8;4;TRUE;TRUE;0;"FALSE"
8;5;TRUE;TRUE;0;"FALSE"
9;1;TRUE;TRUE;0;"TRUE"
9;2;FALSE;FALSE;1;"Not comparable"
9;3;TRUE;TRUE;0;"TRUE"
9;4;TRUE;TRUE;0;"TRUE"
9;5;FALSE;FALSE;1;"Not comparable"
