"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,59296;0,00703999999999997;0,118776714635902;0,01408693;0,955;0,955
1;"beta2";0,8;0,78061;-0,01939;0,0635417632615901;0,00439334;0,95;0,96
1;"gamma1";-0,8;-0,73027;0,06973;0,125990775366242;0,02065658;0,89;0,95
1;"gamma2";0,5;0,55378;0,05378;0,0705766741542371;0,00784845;0,84;0,945
1;"theta_u";0,8;0,84131435274289;0,0413143527428895;0,087684678725698;0,00935703561137663;0,08;0,315
1;"theta_v";0,8;0,64071237593236;-0,15928762406764;0,0950411248046382;0,034360198508224;0,57;0,005
1;"rho";0,8;0,87843;0,07843;0,0433732787155025;0,0080231;0,18;0,44
2;"beta1";-0,6;-0,60667;-0,00667000000000002;0,114143659372189;0,01300812;0,945;0,95
2;"beta2";0,8;0,773995;-0,026005;0,0632625936377006;0,004658405;0,915;0,94
2;"gamma1";-0,8;-0,717255;0,0827450000000001;0,118327031599019;0,020778015;0,865;0,955
2;"gamma2";0,5;0,558285;0,058285;0,0651214078765124;0,007616735;0,865;0,95
2;"theta_u";0,8;0,765710247162363;-0,0342897528376368;0,0686028362112944;0,00585860454021874;0,265;0,05
2;"theta_v";0,8;0,489190193282619;-0,310809806717381;0,0449785520759373;0,0986156907478091;0,065;0
2;"rho";0,2;0,775905;0,575905;0,0431970589800117;0,333523225;0;0,74
3;"beta1";-0,6;-0,61548;-0,01548;0,088850727961545;0,00809461;0,945;0,96
3;"beta2";0,8;0,815315;0,015315;0,0482803348025178;0,002553885;0,975;0,97
3;"gamma1";-0,8;-0,85409;-0,0540899999999999;0,113174263725678;0,0156701;0,93;0,955
3;"gamma2";0,5;0,63438;0,13438;0,0606419229087465;0,02171704;0,415;0,95
3;"theta_u";0,03;0,302176706931902;0,272176706931902;0,0169016602256511;0,0743643975840858;0;0
3;"theta_v";0,02;0,323068494033162;0,303068494033162;0,0154252342739785;0,0920872602386737;0;0
3;"rho";0,2;0,230875;0,030875;0,139252488858427;0,020247565;0,675;0,395
