"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,619633817527193;-0,0196338175271929;0,129758006649926;0,0171384413790044;0,76;0,775
1;"beta2";0,8;0,79828006188947;-0,00171993811052976;0,0738169573010095;0,00542465665635721;0,71;0,715
1;"gamma1";-0,8;-0,919632944870845;-0,119632944870845;0,189050545510136;0,0498734497123622;0,61;0,725
1;"gamma2";0,5;0,721994585006179;0,221994585006179;0,122346174586581;0,0641753392758558;0,18;0,63
2;"beta1";-0,6;-0,646486530047191;-0,0464865300471915;0,139460397097983;0,021512953822762;0,605;0,7
2;"beta2";0,8;0,792236031666624;-0,00776396833337561;0,0745102659315486;0,00558430003482581;0,7;0,675
2;"gamma1";-0,8;-0,87031522920417;-0,0703152292041703;0,164350145520687;0,0318201469390426;0,765;0,795
2;"gamma2";0,5;0,691222185564879;0,191222185564879;0,100454669795222;0,0466066092324577;0,205;0,765
3;"beta1";-0,6;-0,635275368001159;-0,035275368001159;0,0896832824530563;0,00924722728341409;0,87;0,915
3;"beta2";0,8;0,820137526567719;0,0201375265677187;0,0489217338192056;0,0027868893359434;0,92;0,935
3;"gamma1";-0,8;-0,931709704416923;-0,131709704416923;0,143709548217039;0,037896618315095;0,735;0,855
3;"gamma2";0,5;0,69991187742179;0,19991187742179;0,092130029494957;0,0484102613573726;0,17;0,79
4;"beta1";-0,6;-0,609343639981201;-0,00934363998120136;0,0911043540570986;0,00834580691961867;0,915;0,925
4;"beta2";0,8;0,813097066440415;0,013097066440415;0,0489775337686215;0,00255833796933082;0,88;0,89
4;"gamma1";-0,8;-0,881893453740816;-0,0818934537408155;0,133722866366192;0,0244989337298437;0,805;0,885
4;"gamma2";0,5;0,666651557772538;0,166651557772538;0,0844642370133761;0,0348712780055942;0,24;0,785
5;"beta1";-0,6;-0,620488754796481;-0,0204887547964814;0,0944758735585564;0,00930085130433941;0,87;0,905
5;"beta2";0,8;0,804497745976944;0,00449774597694413;0,0508292680297958;0,00259092613487572;0,92;0,915
5;"gamma1";-0,8;-0,885426053097072;-0,0854260530970716;0,135237341673386;0,0254953034377135;0,795;0,825
5;"gamma2";0,5;0,665302934752595;0,165302934752595;0,0946734732371376;0,0362433114399299;0,305;0,715
6;"beta1";-0,6;-0,598115299638943;0,00188470036105692;0,116165771826669;0,0134305662068162;0,795;0,8
6;"beta2";0,8;0,79902883311997;-0,0009711668800305;0,05728929624624;0,00326659631217637;0,82;0,815
6;"gamma1";-0,8;-0,878681950585745;-0,078681950585745;0,166868788830818;0,0338968160704123;0,755;0,755
6;"gamma2";0,5;0,67779650940927;0,17779650940927;0,0988697964164208;0,0413379592183279;0,255;0,75
7;"beta1";-0,6;-0,610251120144009;-0,010251120144009;0,0647243714473793;0,00427338350216895;0,93;0,925
7;"beta2";0,8;0,810647791868265;0,0106477918682645;0,0388597085804441;0,00161590203787213;0,92;0,89
7;"gamma1";-0,8;-0,921257393600214;-0,121257393600214;0,172327264935102;0,04425155831153;0,715;0,815
7;"gamma2";0,5;0,751132371357553;0,251132371357553;0,103790362472891;0,0737860450892108;0,085;0,72
8;"beta1";-0,6;-0,606355347413074;-0,0063553474130737;0,0534887370202078;0,00288713020381773;0,96;0,975
8;"beta2";0,8;0,815358159124881;0,0153581591248811;0,0340047670459012;0,00138641561264195;0,895;0,92
8;"gamma1";-0,8;-0,695137780435365;0,104862219564635;0,142307242890665;0,0311461797142687;0,8;0,895
8;"gamma2";0,5;0,605587446128455;0,105587446128455;0,0906641454205683;0,0193275961084471;0,585;0,805
9;"beta1";-0,6;-0,622470035618305;-0,0224700356183048;0,0763057182860297;0,00629835233061909;0,895;0,905
9;"beta2";0,8;0,81807073726983;0,0180707372698298;0,0490694523028267;0,0027223236390281;0,78;0,815
9;"gamma1";-0,8;-0,95561828690923;-0,15561828690923;0,134298323167792;0,0421629106282157;0,67;0,905
9;"gamma2";0,5;0,756035182608695;0,256035182608695;0,0886611581567403;0,073375511694334;0,05;0,8
