"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,560505;0,039495;0,131694713114504;0,018816635;0,92;0,93
1;"beta2";0,8;0,761215;-0,038785;0,0653776718373664;0,00575714500000001;0,93;0,955
1;"gamma1";-0,8;-0,763915;0,036085;0,150808600367232;0,023931645;0,925;0,925
1;"gamma2";0,5;0,56456;0,06456;0,0768169291433541;0,01003933;0,895;0,955
1;"theta_u";0,8;0,796133765979708;-0,00386623402029227;0,101377580044338;0,0102409744324676;0,205;0,195
1;"theta_v";0,8;0,569035166028932;-0,230964833971068;0,0966472101957377;0,0626387343537091;0,37;0
1;"rho";0,8;0,82517;0,02517;0,0635395741836313;0,00465062;0,345;0,435
2;"beta1";-0,6;-0,586465;0,013535;0,125887996701702;0,015951745;0,94;0,935
2;"beta2";0,8;0,766425;-0,0335750000000001;0,0645641309865645;0,005274965;0,93;0,95
2;"gamma1";-0,8;-0,7762;0,0238;0,148734629289042;0,02257782;0,925;0,93
2;"gamma2";0,5;0,58942;0,0894200000000001;0,0754960386993681;0,01366709;0,81;0,96
2;"theta_u";0,8;0,75341473463869;-0,0465852653613098;0,0897861089261161;0,0101914245780956;0,34;0,105
2;"theta_v";0,8;0,473881333433733;-0,326118666566268;0,058768618972606;0,109789866506028;0,055;0
2;"rho";0,2;0,742705;0,542705;0,0668168423912391;0,298970885;0;0,515
3;"beta1";-0,6;-0,61021;-0,01021;0,104961088267278;0,01106599;0,965;0,96
3;"beta2";0,8;0,81089;0,01089;0,0515974747151925;0,00276758;0,97;0,97
3;"gamma1";-0,8;-0,8742;-0,0742;0,139300622096898;0,02481328;0,92;0,94
3;"gamma2";0,5;0,6587;0,1587;0,075609616255816;0,03087392;0,485;0,95
3;"theta_u";0,03;0,315979482669058;0,285979482669058;0,010607977096737;0,0818962310398566;0;0
3;"theta_v";0,02;0,321124685163306;0,301124685163307;0,0122345822890077;0,090825012593468;0;0
3;"rho";0,2;0,16911;-0,03089;0,111068080439262;0,01322863;0,625;0,825
4;"beta1";-0,6;-0,533805;0,066195;0,13691337897265;0,023033325;0,93;0,965
4;"beta2";0,8;0,72915;-0,07085;0,0740329106499028;0,01047319;0,835;0,965
4;"gamma1";-0,8;-0,733505;0,066495;0,1635012024144;0,031020565;0,915;0,945
4;"gamma2";0,5;0,51199;0,01199;0,0944533593125577;0,00902059;0,92;0,93
4;"theta_u";NA;1,10516843313649;NA;0,0792092477128947;NA;NA;0,67
4;"theta_v";NA;0,835182706924759;NA;0,122699314024746;NA;NA;0,285
4;"rho";NA;0,931315;NA;0,0279231856435187;NA;NA;0,505
5;"beta1";-0,6;-0,552835;0,0471649999999999;0,112437488048217;0,014803515;0,91;0,965
5;"beta2";0,8;0,75697;-0,0430300000000001;0,0580328195136469;0,00520255;0,91;0,95
5;"gamma1";-0,8;-0,79198;0,00802000000000005;0,143231125726514;0,0204769;0,955;0,955
5;"gamma2";0,5;0,56612;0,06612;0,0887052348707072;0,01220113;0,835;0,92
5;"theta_u";NA;0,607731445434047;NA;0,118268454659226;NA;NA;0,015
5;"theta_v";NA;0,539102510797793;NA;0,128983201163668;NA;NA;0
5;"rho";NA;0,783265;NA;0,0819739189740237;NA;NA;0,39
6;"beta1";-0,6;-0,51584;0,08416;0,131919856895071;0,02439874;0,925;0,955
6;"beta2";0,8;0,730645;-0,069355;0,0662596459271551;0,00917850500000001;0,845;0,98
