"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
4;"beta1";-0,6;-0,601716754947101;-0,00171675494710062;0,0918625314034799;0,00839947830002445;0,905;0,915
4;"beta2";0,8;0,810734768962649;0,010734768962649;0,0464910335692536;0,00226584438600723;0,915;0,915
4;"gamma1";-0,8;-0,838464218773792;-0,0384642187737923;0,121305317297549;0,0161209012305139;0,88;0,905
4;"gamma2";0,5;0,631568825381821;0,131568825381821;0,0763718374680275;0,0231138500828038;0,395;0,82
5;"beta1";-0,6;-0,610047498674465;-0,0100474986744651;0,0913157691495673;0,00839782907651355;0,895;0,9
5;"beta2";0,8;0,798842053653726;-0,00115794634627436;0,0506351164099902;0,00255243627852484;0,92;0,915
5;"gamma1";-0,8;-0,841648070994345;-0,041648070994345;0,115203516043202;0,0149400526757227;0,915;0,915
5;"gamma2";0,5;0,630175372538752;0,130175372538752;0,0786924482279711;0,0231071665166743;0,415;0,845
6;"beta1";-0,6;-0,569515906002016;0,0304840939979838;0,105410381955496;0,0119850718677615;0,795;0,835
6;"beta2";0,8;0,772974194369623;-0,0270258056303773;0,0518817333145445;0,00340864985043385;0,805;0,88
6;"gamma1";-0,8;-0,798318691439964;0,00168130856003634;0,132154963826817;0,017380436590221;0,87;0,875
6;"gamma2";0,5;0,605157988226408;0,105157988226408;0,0766273748911766;0,0169005982976247;0,525;0,84
7;"beta1";-0,6;-0,604745647268759;-0,00474564726875929;0,0652425958779056;0,00425783450330275;0,935;0,94
7;"beta2";0,8;0,806359567925394;0,00635956792539438;0,0388330974706663;0,00154091351606815;0,92;0,895
7;"gamma1";-0,8;-0,83661308864712;-0,0366130886471201;0,187901764046369;0,0364710558273606;0,79;0,76
7;"gamma2";0,5;0,672104099373117;0,172104099373117;0,127932410694682;0,0459046892186539;0,335;0,57
8;"beta1";-0,6;-0,605946912167952;-0,00594691216795189;0,0528678485855675;0,0028164001313295;0,965;0,985
8;"beta2";0,8;0,815095908025691;0,0150959080256914;0,0338936205866969;0,00137092006801272;0,9;0,915
8;"gamma1";-0,8;-0,69158446139061;0,10841553860939;0,139827547921425;0,0312079134538939;0,78;0,915
8;"gamma2";0,5;0,601111743941052;0,101111743941052;0,0920650978267651;0,0186571870894635;0,585;0,825
9;"beta1";-0,6;-0,590251447385672;0,00974855261432783;0,143200537693986;0,0204988963039419;0,72;0,695
9;"beta2";0,8;0,753571156330391;-0,0464288436696091;0,112217229042712;0,0146853804860514;0,56;0,435
9;"gamma1";-0,8;-0,900026947611832;-0,100026947611832;0,145953459269706;0,0312012904599699;0,77;0,85
9;"gamma2";0,5;0,677236263503902;0,177236263503902;0,103539725104982;0,0420795654022658;0,31;0,715
