"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,654021511158737;-0,054021511158737;0,15780253353982;0,0276954550615016;0,765;0,795
1;"beta2";0,8;0,8252652038791;0,0252652038791002;0,0827455928006938;0,00745092948935104;0,73;0,755
1;"gamma1";-0,8;-1,19025802657532;-0,39025802657532;0,312004564926004;0,249161441598454;0,35;0,645
1;"gamma2";0,5;0,935569468588878;0,435569468588878;0,182020799285422;0,222686675482439;0,03;0,645
2;"beta1";-0,6;-0,687558745366407;-0,0875587453664067;0,151331834106672;0,030453351284158;0,66;0,735
2;"beta2";0,8;0,829977953328945;0,0299779533289448;0,0754249395411585;0,00655915458305587;0,73;0,76
2;"gamma1";-0,8;-1,17349519218571;-0,373495192185714;0,283477675061859;0,219456452883028;0,355;0,675
2;"gamma2";0,5;0,931154839143027;0,431154839143027;0,181325969705098;0,218609207069496;0,025;0,67
3;"beta1";-0,6;-0,655878365411178;-0,055878365411178;0,110129713141222;0,0151903026690101;0,905;0,925
3;"beta2";0,8;0,83584872895873;0,0358487289587305;0,0538555927931308;0,00417105411868055;0,91;0,955
3;"gamma1";-0,8;-1,08217423930698;-0,282174239306976;0,211746158092765;0,124234554618181;0,475;0,795
3;"gamma2";0,5;0,832214948694438;0,332214948694438;0,125349135024649;0,126000615759218;0,065;0,74
4;"beta1";-0,6;-0,613715042075957;-0,0137150420759571;0,101810920213466;0,0105017385364845;0,905;0,905
4;"beta2";0,8;0,804903647111692;0,0049036471116924;0,0607768705491808;0,00369940460877913;0,89;0,88
4;"gamma1";-0,8;-1,00274132722538;-0,202741327225383;0,220099312456831;0,0893055345723598;0,655;0,8
4;"gamma2";0,5;0,782725033567636;0,282725033567636;0,13001136061645;0,0967518837257149;0,12;0,765
5;"beta1";-0,6;-0,627496091872145;-0,0274960918721452;0,10986022209197;0,0127649571243479;0,88;0,9
5;"beta2";0,8;0,807671937367111;0,00767193736711124;0,0614293889316241;0,00381356059835506;0,88;0,885
5;"gamma1";-0,8;-1,0834629280367;-0,283462928036703;0,238817744013659;0,137099976852636;0,525;0,78
5;"gamma2";0,5;0,82396813222665;0,32396813222665;0,167218687390875;0,132777629664087;0,095;0,685
6;"beta1";-0,6;-0,612847336905075;-0,0128473369050751;0,135208638964117;0,0183550232358289;0,78;0,8
6;"beta2";0,8;0,795121559201599;-0,00487844079840101;0,0690052860661374;0,00476172004216762;0,82;0,79
6;"gamma1";-0,8;-1,08607485317355;-0,286074853173553;0,283283924346625;0,161687354502528;0,5;0,675
6;"gamma2";0,5;0,868923355205895;0,368923355205895;0,179949653511627;0,168324410426335;0,055;0,615
7;"beta1";-0,6;-0,612702194204822;-0,012702194204822;0,0726950517080135;0,00541949342773362;0,93;0,93
7;"beta2";0,8;0,809968502081296;0,00996850208129636;0,0465164455298927;0,0022523318399566;0,865;0,875
7;"gamma1";-0,8;-1,02994518239552;-0,229945182395516;0,221626912949167;0,101747683007568;0,6;0,815
7;"gamma2";0,5;0,87829920234338;0,378299202343379;0,158048602830769;0,167964750546112;0,045;0,645
8;"beta1";-0,6;-0,610458778417682;-0,0104587784176822;0,064414527482309;0,00423787124000547;0,94;0,94
8;"beta2";0,8;0,81918749537907;0,0191874953790697;0,0406859235877388;0,00201522763521821;0,87;0,945
8;"gamma1";-0,8;-0,768357696463241;0,0316423035367591;0,163364799797595;0,0275558528969561;0,875;0,895
8;"gamma2";0,5;0,688861473658849;0,188861473658849;0,103814256986678;0,0463921691865197;0,34;0,83
9;"beta1";-0,6;-0,658246551824752;-0,058246551824752;0,115984508483964;0,0167778049766988;0,695;0,78
9;"beta2";0,8;0,829008725234066;0,0290087252340661;0,0664685589191116;0,00523748511786504;0,715;0,765
9;"gamma1";-0,8;-1,2445209442406;-0,444520944240604;0,248805333632662;0,259193443442398;0,235;0,735
9;"gamma2";0,5;1,00130048715015;0,501300487150154;0,154319162878189;0,274997510428249;0;0,665
